,Winner,Turn,Strategy,Goal
368,fuchsia,50,Neutral,LA
369,royalblue,38,Neutral,BE
370,fuchsia,39,Neutral,LA
371,fuchsia,31,Neutral,LA
372,fuchsia,58,Neutral,LA
373,fuchsia,39,Neutral,LA
374,black,51,Neutral,PP
375,fuchsia,50,Neutral,LA
376,fuchsia,43,Neutral,LA
377,royalblue,48,Neutral,BE
378,royalblue,39,Neutral,BE
379,fuchsia,46,Neutral,LA
380,royalblue,44,Neutral,BE
381,black,49,Neutral,PP
382,fuchsia,47,Neutral,LA
383,black,34,Neutral,PP
384,fuchsia,69,Neutral,LA
385,fuchsia,40,Neutral,LA
386,fuchsia,44,Neutral,LA
387,fuchsia,63,Neutral,LA
388,royalblue,31,Neutral,BE
389,fuchsia,46,Neutral,LA
390,royalblue,51,Neutral,BE
391,royalblue,44,Neutral,BE
392,royalblue,38,Neutral,BE
393,royalblue,47,Neutral,BE
394,royalblue,38,Neutral,BE
395,royalblue,42,Neutral,BE
396,fuchsia,36,Neutral,LA
397,royalblue,40,Neutral,BE
398,royalblue,41,Neutral,BE
399,royalblue,36,Neutral,BE
400,black,47,Aggressive,PP
401,royalblue,34,Aggressive,BE
402,royalblue,43,Aggressive,BE
403,royalblue,43,Aggressive,BE
404,royalblue,42,Aggressive,BE
405,fuchsia,42,Aggressive,LA
406,fuchsia,35,Aggressive,LA
407,black,36,Aggressive,PP
408,fuchsia,35,Aggressive,LA
409,black,40,Aggressive,PP
410,royalblue,35,Aggressive,BE
411,royalblue,39,Aggressive,BE
412,royalblue,33,Aggressive,BE
413,royalblue,41,Aggressive,BE
414,black,47,Aggressive,PP
415,fuchsia,32,Aggressive,LA
416,royalblue,53,Aggressive,BE
417,fuchsia,48,Aggressive,LA
418,fuchsia,35,Aggressive,LA
419,fuchsia,40,Aggressive,LA
420,fuchsia,34,Aggressive,LA
421,fuchsia,33,Aggressive,LA
422,royalblue,37,Aggressive,BE
423,fuchsia,32,Aggressive,LA
424,black,49,Aggressive,PP
425,royalblue,33,Aggressive,BE
426,fuchsia,46,Aggressive,LA
427,royalblue,37,Aggressive,BE
